"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-02","9.17",,"0.00","0.0","0.0","71","85","60","  230","  230","21.0","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-03","6.26",,"0.00","0.0","0.0","71","77","60","  190","  190","14.1","16.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-04","6.49",,"0.00","0.0","0.0","70","80","62","  190","  190","17.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-05","6.71",,"0.01","0.0","0.0","68","76","64","  120",,"12.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-06","9.84",,"0.00","0.0","0.0","66","69","65","  100","  100","17.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-07","16.55",,"0.26","0.0","0.0","70","78","61","  180","  180","33.1","40.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-08","11.41",,"0.00","0.0","0.0","62","68","55","  360","  340","18.1","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-09","10.74",,"0.00","0.0","0.0","59","65","53","   50","   50","21.0","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-10","15.88",,"0.00","0.0","0.0","59","66","56","   30","   30","21.0","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-11","15.43",,"0.00","0.0","0.0","64","69","60","   60","   40","21.9","28.0",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-12","14.99",,"0.00","0.0","0.0","66","75","59","   60","   60","23.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-13","11.41",,"0.00","0.0","0.0","61","68","51","   50","   50","21.9","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-14","5.59",,"0.00","0.0","0.0","56","66","49","  140","   40","10.1","17.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-15","5.82",,"0.00","0.0","0.0","58","70","50","  110","  110","16.1","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-16","5.37",,"0.00","0.0","0.0","59","67","54","  210","  130","8.9","12.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-17","10.74",,"0.01","0.0","0.0","64","72","61","  190","  180","21.9","25.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-18","14.99",,"0.00","0.0","0.0","64","70","56","  270","  270","25.1","31.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-19","7.16",,"0.00","0.0","0.0","58","65","50","  250","  250","21.0","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-20","12.08",,"0.00","0.0","0.0","59","64","50","  290","  290","23.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-21","11.63",,"0.00","0.0","0.0","58","66","49","  190","  190","23.0","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-22","11.63",,"0.00","0.0","0.0","60","68","51","  290","  290","18.1","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-23","8.50",,"0.00","0.0","0.0","51","55","45","  320","  330","18.1","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-24","14.99",,"0.00","0.0","0.0","48","56","41","  250","  260","23.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-25","13.20",,"0.00","0.0","0.0","46","56","39","  290","  300","23.9","31.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-26","14.32",,"0.00","0.0","0.0","47","56","40","  240","  250","25.1","31.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-27","12.97",,"0.00","0.0","0.0","52","58","47","  300","  310","19.9","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-28","9.17",,"0.00","0.0","0.0","50","60","40","  260","  260","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-29","5.82",,"0.00","0.0","0.0","51","57","44","   50",,"11.0",,,,,,,,
